metric,sf_from,sf_to,median_diff,p_value
SID,1,2,-5.387253391363306,6.773439451059998e-73
SID,2,3,-2.5908750659584445,4.158768181083419e-26
SID,3,4,-0.2029429818304589,0.05462942067016757
SID,2,3,-0.1473766896121127,0.1485725127714298
AHD,1,2,-0.08333333333333334,1.2297368726352207e-104
AHD,1,2,-0.047619047619047616,1.5532278662661734e-68
AHD,2,3,-0.02777777777777779,1.0424566169954139e-40
AHD,2,3,-0.006410256410256415,0.00036649297197794274
AHD,3,4,-0.006410256410256401,2.654197370301224e-05
AHD,3,4,0.0,0.020429756197815924
AHD,4,5,0.0,0.8401184756252629
SID,3,4,0.0,0.9006799383526167
AHD,4,5,0.0,0.9989962036871755
SID,4,5,0.45793688472298477,0.9343849225340763
SID,4,5,1.0914805346279524,0.9999989756578546
SID,1,2,,
